effect_id,ingredient_id
000ae722,00052695
000ae722,FE001804
000ae722,0403cd8e
000ae722,000e7ed0
000ae722,FE00180C
000ae722,050008F2
000ae722,0006bc00
000ae722,FE001817
000ae722,FE00181C
000ae722,050008F3
000ae722,0003ad76
000ae722,FE001824
00109add,FE001836
00109add,FE001D68
00109add,FE00180C
00109add,FE00180F
00109add,FE001818
00109add,FE001819
00109add,FE00181C
0003eb42,FE001838
0003eb42,FE001805
0003eb42,000b701a
0003eb42,000516c8
0003eb42,0003ad63
0003eb42,0401ff75
0003eb42,0003ad5d
0003eb42,FE001829
0003eb42,FE00182C
0003eb42,001016b3
0003eb42,000b18cd
0003eb42,FE00180F
0003eb42,0004da23
0003eb42,0002f44c
0003eb42,00059b86
0003eb42,020185fb
0003eb42,00077e1d
0003eb42,FE001818
0003eb42,00106e1a
0003eb42,FE00181B
0003eb42,0003ad6f
0003eb42,0006bc0b
0003eb42,0003ad72
0003eb42,0003ad60
0003eb42,FE001823
0003a2b6,FE001D68
0003a2b6,000727e0
0003a2b6,0003ad56
0003a2b6,FE001804
0003a2b6,0003ad5b
0003a2b6,0006bc07
0003a2b6,0003ad73
0003a2b6,0003ad66
0003a2b6,00057f91
0003a2b6,000b18cd
0003a2b6,000727df
0003a2b6,0004da24
0003a2b6,0007edf5
0003a2b6,04017008
00073f2b,020059ba
00073f2b,0006bc02
00073f2b,000727de
00073f2b,00077e1c
00073f2b,0401cd6e
00073f2b,020183b7
00073f2b,00023d77
00073f2b,FE001826
00073f2b,0003ad73
00073f2b,00057f91
00073f2b,0300f1cc
00073f2b,000b18cd
00073f2b,FE001815
00073f2b,0002f44c
00073f2b,050008ED
00073f2b,FE00181B
00073f2b,0009151b
00073f2b,00063b5f
0003a2c6,020059ba
0003a2c6,0401cd74
0003a2c6,0004da25
0003a2c6,000727de
0003a2c6,FE001D6C
0003a2c6,00034cdd
0003a2c6,0006abcb
0003a2c6,020183b7
0003a2c6,FE001806
0003a2c6,000b701a
0003a2c6,00106e19
0003a2c6,0003ad64
0003a2c6,FE001814
0003a2c6,00059b86
0003a2c6,0007e8c8
0003a2c6,0009151b
00073f2c,FE001802
00073f2c,000b2183
00073f2c,0003ad5b
00073f2c,00034d32
00073f2c,0003ad64
00073f2c,00106e18
00073f2c,0005076e
00073f2c,0006bc0a
00073f2c,FE00181A
00073f2c,00106e1c
00073f2c,0003ad6f
00073f2c,0004b0ba
00073f2c,02002a78
00073f20,000e4f0c
00073f20,FE001D6C
00073f20,00106e19
00073f20,0003ad5b
00073f20,FE001828
00073f20,0200b097
00073f20,06059151
00073f20,FE001813
00073f20,0004da24
00073f20,0401cd72
00073f20,020185fb
00073f20,0006bc10
00073f20,0100306D
00073f20,FE00181E
0003eb24,FE001822
0003eb24,0401cd6e
0003eb24,00083e64
0003eb24,050008F1
0003eb24,00106e1a
0003eb24,0100306E
0003eb24,FE00181E
0003eb24,00063b5f
0003eb23,000727e0
0003eb23,000889a2
0003eb23,0006b689
0003eb23,FE00180F
0003eb23,0003f7f8
0003eb1c,FE001D66
0003eb1c,0004da20
0003eb1c,0401cd6f
0003eb1c,0003ad61
0003eb1c,000b08c5
0003eb1c,000854fe
0003eb1c,0003ad70
0003eb1c,0003f7f8
0003eb01,FE001805
0003eb01,000b2183
0003eb01,0003ad64
0003eb01,000e7ebc
0003eb01,050008F2
0003eb01,FE001810
0003eb01,050008F1
0003eb01,FE001814
0003eb01,0401cd72
0003eb01,020185fb
0003eb01,00106e1a
0003eb01,0006f950
0003eb01,04017008
0003eb01,0006bc0e
0003eb01,FE001825
0003eb25,020059ba
0003eb25,000727de
0003eb25,00077e1c
0003eb25,00034cdd
0003eb25,020183b7
0003eb25,FE001807
0003eb25,0003ad5f
0003eb25,0003ad66
0003eb25,00045c28
0003eb25,050008F1
0003eb25,FE00181E
0003eb26,0401cd74
0003eb26,000a9191
0003eb26,FE001806
0003eb26,FE00180B
0003eb26,0003ad63
0003eb26,0003ad73
0003eb26,0007ee01
0003eb26,0002f44c
0003eb26,0006bc0e
0003eb29,020059ba
0003eb29,000727de
0003eb29,020183b7
0003eb29,FE001827
0003eb29,0006b689
0003eb29,0001b3bd
0003eb29,0401cd6d
0003eb29,00063b5f
0003eb29,FE00181F
0003eaf3,FE001836
0003eaf3,0006bc02
0003eaf3,00077e1c
0003eaf3,0401cd6f
0003eaf3,FE00182B
0003eaf3,0003ad64
0003eaf3,0007ee01
0003eaf3,00057f91
0003eaf3,FE001851
0003eaf3,FE00180D
0003eaf3,FE001820
0003eaf3,0004b0ba
0003eaf3,02002a78
0003eb1e,06059155
0003eb1e,FE001D6C
0003eb1e,050008EF
0003eb1e,FE00182C
0003eb1e,0003ad6a
0003eb1e,0006bc04
0003eb1e,0003ad70
0003eb1e,000134aa
0003eb1e,0004da22
0003eb27,06059155
0003eb27,000889a2
0003eb27,000f11c0
0003eb27,050008EE
0003eb27,000ec870
0003eb27,0006f950
0003eb27,0003ad71
0003eb27,FE001821
0003eb1f,0401cd71
0003eb1f,FE001D66
0003eb1f,000a9191
0003eb1f,0403cd8e
0003eb1f,000e7ed0
0003eb1f,000b08c5
0003eb1f,000727df
0003eb1f,0003ad6f
0003eb1f,FE001824
0003eb21,04016e26
0003eb21,0003ad5d
0003eb21,0004da24
0003eb21,00023d6f
0003eb21,050008F3
0003eb21,0009151b
0003eb21,FE001825
0003eaf8,FE001822
0003eaf8,FE001D6A
0003eaf8,0003ad61
0003eaf8,0003ad63
0003eaf8,0401ff75
0003eaf8,00106e18
0003eaf8,FE00180C
0003eaf8,0006ac4a
0003eaf8,FE001837
0003eaf8,FE001817
0003eaf8,00077e1d
0003eaf8,03003545
0003eaf8,FE00181A
0003eaf8,FE00181F
0003eaf8,0003f7f8
0003eaf8,0003ad60
0003eaf8,FE001821
0003eb1b,050008EB
0003eb1b,0006abcb
0003eb1b,FE001809
0003eb1b,00034d31
0003eb1b,0005076e
0003eb1b,0009151b
0003eb19,0006bc02
0003eb19,0006abcb
0003eb19,00057f91
0003eb19,000e7ed0
0003eb19,FE001851
0003eb19,050008EC
0003eb19,0007e8c8
0003eb19,00085500
0003eb19,FE00181F
0003eb20,000e4f0c
0003eb20,FE001811
0003eb20,0007edf5
0003eb20,000bb956
0003eb20,0007e8c5
0003eb20,050008F3
0003eb28,00106e1b
0003eb28,00106e19
0003eb28,FE00182E
0003eb28,050008ED
0003eb28,00034cdf
0003eb28,0006bc0b
0003eb28,00085500
0003eb28,02002a78
0003eb1d,0004da25
0003eb1d,FE001827
0003eb1d,0007ee01
0003eb1d,FE00182D
0003eb1d,050008EC
0003eb1d,0006bc04
0003eb1d,00063b5f
0003eb22,00106e1b
0003eb22,04016e26
0003eb22,000a9191
0003eb22,00034d32
0003eb22,000e7ed0
0003eb22,001016b3
0003eb22,FE001811
0003eb22,0006bc10
0003eb22,00077e1e
0003eb22,FE001819
0003eaf9,0401cd6f
0003eaf9,0003ad56
0003eaf9,FE00182B
0003eaf9,00034d22
0003eaf9,0006bc0a
0003eaf9,00045c28
0003eaf9,FE00181D
0003eaf9,0007e8c5
0003eaf9,0004da73
0003eaf9,FE001820
0003eb1a,050008F0
0003eb1a,000889a2
0003eb1a,0401ff75
0003eb1a,0004da00
0003eb1a,FE001851
0003eb1a,050008F2
0003eb1a,0003ad72
00073f29,0004da25
00073f29,0401cd6f
00073f29,FE001827
00073f29,0003ad5d
00073f29,0004da00
00073f29,0003ad66
00073f29,000b18cd
00073f29,FE00180E
00073f29,0003ad72
00073f29,FE001823
0003eb3d,0401cd74
0003eb3d,FE001D68
0003eb3d,FE001D6A
0003eb3d,0003ad56
0003eb3d,000b701a
0003eb3d,FE00180A
0003eb3d,FE001828
0003eb3d,FE00182A
0003eb3d,050008EE
0003eb3d,06059151
0003eb3d,0003ad6a
0003eb3d,000727df
0003eb3d,00059b86
0003eb3d,FE001818
0003eb3d,0100306E
0003eb3d,0003ad76
fe001846,FE001D62
fe001846,FE001822
fe001846,FE001826
fe001846,FE00180D
0010aa4a,050008F0
0010aa4a,FE001838
0010aa4a,0004da23
0010aa4a,FE001813
0010aa4a,000ec870
0010aa4a,000bb956
0010aa4a,FE001819
0010aa4a,0100306D
0010aa4a,04017e97
0010aa4a,0007e8c5
0010aa4a,0003ad70
0010aa4a,0100306F
0010de5f,0006b689
0010de5f,FE001816
0010de5f,00077e1e
0010de5f,050008ED
0010de5f,FE00181B
0010de5f,0007e8b7
0010de5f,0004da73
0010de5f,0004b0ba
0010de5e,FE001D68
0010de5e,000727e0
0010de5e,00023d77
0010de5e,FE001805
0010de5e,FE00180A
0010de5e,0300f1cc
0010de5e,FE001810
0010de5e,FE001813
0010de5e,0002f44c
0010de5e,0006bc0b
fe001803,FE001D6A
fe001803,FE00180A
fe001803,FE001810
fe001803,FE001821
fe001803,FE001825
00073f30,FE001D66
00073f30,0003ad61
00073f30,0006abcb
00073f30,FE001809
00073f30,FE00180A
00073f30,FE00180B
00073f30,FE001829
00073f30,0200b097
00073f30,FE00182D
00073f30,FE00182E
00073f30,001016b3
00073f30,0004da23
00073f30,0401cd72
00073f30,06059153
00073f30,0100306D
00073f30,FE00181D
00073f30,0007e8b7
00073f30,0100306F
00073f26,FE001838
00073f26,FE001807
00073f26,00106e19
00073f26,FE00180B
00073f26,0006bc07
00073f26,0007e8c1
00073f26,FE00182D
00073f26,0006ac4a
00073f26,04017e97
00073f26,00106e1c
00073f26,0003ad6f
00073f27,FE001D62
00073f27,FE001805
00073f27,00034d32
00073f27,00083e64
00073f27,00045c28
00073f27,000bb956
00073f27,00077e1d
00073f27,04017e97
00073f27,0401cd6d
00073f27,0004da22
00073f23,000a9195
00073f23,00034cdd
00073f23,FE001802
00073f23,000516c8
00073f23,000b08c5
00073f23,FE00180E
00073f23,04017e97
00073f23,0401cd6d
00073f23,000134aa
0003eb06,FE001D62
0003eb06,FE001836
0003eb06,050008EB
0003eb06,0401ff75
0003eb06,00034d22
0003eb06,0200b097
0003eb06,FE00182C
0003eb06,FE00180D
0003eb06,0005076e
0003eb06,000727df
0003eb06,FE001815
0003eb06,0004da24
0003eb06,0007edf5
0003eb06,FE001816
0003eb06,06059153
0003eb06,0100306E
0003eb06,0100306F
0003eb06,0003ad76
0003eb06,FE001820
0003eb07,000f11c0
0003eb07,0003ad5e
0003eb07,00034d22
0003eb07,0006ac4a
0003eb07,FE001837
0003eb07,FE001815
0003eb07,000d8e3f
0003eb07,06059153
0003eb07,03003545
0003eb07,00034cdf
0003eb07,0100306E
0003eb07,FE00181C
0003eb07,0003ad71
0003eb07,0100306F
0003eb08,FE001D62
0003eb08,050008F0
0003eb08,000a9195
0003eb08,FE001826
0003eb08,0004da00
0003eb08,050008F2
0003eb08,000ec870
0003eb08,06059153
0003eb08,FE001817
0003eb08,0006f950
0003eb08,FE00181C
0003eb08,FE001823
0003eaea,050008EB
0003eaea,0401cd74
0003eaea,04016e26
0003eaea,06059155
0003eaea,00034cdd
0003eaea,000889a2
0003eaea,00034d31
0003eaea,FE001829
0003eaea,0003ad5e
0003eaea,0004da00
0003eaea,FE00182C
0003eaea,0006bc00
0003eaea,FE00181E
0003eaea,0001b3bd
0003eaea,0401cd6d
0003eaeb,FE001826
0003eaeb,FE00182A
0003eaeb,00034d32
0003eaeb,0003ad5f
0003eaeb,050008EF
0003eaeb,000e7ebc
0003eaeb,FE00180D
0003eaeb,000d8e3f
0003eaeb,050008EC
0003eaeb,00077e1e
0003eaeb,FE001818
0003eaeb,00106e1c
0003eaeb,0003ad70
0003eaeb,00085500
0003eaeb,0001b3bd
0003eaeb,000134aa
00039e51,FE001D66
00039e51,0004da20
00039e51,FE001802
00039e51,00023d77
00039e51,000b701a
00039e51,0403cd8e
00039e51,0200b097
00039e51,0006b689
00039e51,0300f1cc
00039e51,FE00180E
00039e51,00045c28
00039e51,00059b86
00039e51,0003f7f8
00039e51,0003ad60
00039e51,0006bc0e
00090041,000a9191
00090041,00052695
00090041,0003ad5d
00090041,00034d22
00090041,00083e64
00090041,FE001815
00090041,0006bc00
00090041,FE001816
00090041,0007e8c5
00090041,000134aa
00090041,0003ad72
00090041,02002a78
0003eaec,0401cd71
0003eaec,000e4f0c
0003eaec,FE001809
0003eaec,0003ad73
0003eaec,0007ee01
0003eaec,000e7ebc
0003eaec,FE001810
0003eaec,000854fe
0003eaec,00023d6f
0003eaec,0001b3bd
0003eaec,0007e8b7
0003eb15,FE001836
0003eb15,0401cd71
0003eb15,0004da25
0003eb15,000e4f0c
0003eb15,00077e1c
0003eb15,000727e0
0003eb15,00052695
0003eb15,FE001809
0003eb15,0003ad5b
0003eb15,0006bc07
0003eb15,0403cd8e
0003eb15,FE00182A
0003eb15,FE001851
0003eb15,0004da23
0003eb15,FE001814
0003eb15,0007e8c8
0003eb15,FE00181A
0003eb15,050008F3
0003eb15,0007e8b7
0003eb15,FE001820
0003eb15,0004b0ba
0003eb17,FE001D6A
0003eb17,FE001D6C
0003eb17,0003ad61
0003eb17,FE001806
0003eb17,FE001807
0003eb17,000b2183
0003eb17,000f11c0
0003eb17,0003ad63
0003eb17,00034d31
0003eb17,FE001828
0003eb17,0003ad5e
0003eb17,0003ad5f
0003eb17,FE00182B
0003eb17,0007e8c1
0003eb17,050008EE
0003eb17,00083e64
0003eb17,06059151
0003eb17,001016b3
0003eb17,FE001837
0003eb17,050008F1
0003eb17,000d8e3f
0003eb17,000ec870
0003eb17,000854fe
0003eb17,00077e1d
0003eb17,0003ad71
0003eb17,0003ad76
0003eb17,0004da22
0003eb17,FE001824
0003eb16,0006bc02
0003eb16,000a9195
0003eb16,00052695
0003eb16,FE001804
0003eb16,0006bc07
0003eb16,050008EF
0003eb16,FE00182E
0003eb16,000e7ebc
0003eb16,00106e18
0003eb16,000b08c5
0003eb16,0006bc0a
0003eb16,0006bc00
0003eb16,0401cd72
0003eb16,000bb956
0003eb16,000854fe
0003eb16,050008EC
0003eb16,00023d6f
0003eb16,050008ED
0003eb16,0006bc10
0003eb16,00077e1e
0003eb16,0006bc04
0003eb16,03003545
0003eb16,FE00181A
0003eb16,FE00181D
0003eb16,00106e1c
0003eb16,00085500
0003eb16,0004da73
0003eb16,0006bc0e
00073f25,FE001802
00073f25,0401cd6e
00073f25,000516c8
00073f25,FE001828
00073f25,06059151
00073f25,FE001811
00073f25,0006bc0a
00073f25,020185fb
00073f25,00106e1a
00073f25,0100306D
00073f25,00034cdf
00073f25,04017008
00073f25,FE001825
fe001812,FE001822
fe001812,FE001806
fe001812,FE00180B
fe001812,FE001829
fe001812,FE001837
fe001812,FE001821
fe001812,FE001824
0003ac2d,050008EB
0003ac2d,050008F0
0003ac2d,00023d77
0003ac2d,FE00182B
0003ac2d,050008EF
0003ac2d,FE00182E
0003ac2d,0300f1cc
0003ac2d,00106e18
0003ac2d,FE001813
0003ac2d,0007edf5
0003ac2d,FE001817
0003ac2d,03003545
0003ac2d,FE00181B
0003ac2d,FE00181D
00073f2d,0004da20
00073f2d,06059155
00073f2d,0401cd6e
00073f2d,FE001807
00073f2d,FE00182A
00073f2d,0003ad5f
00073f2d,FE00180C
00073f2d,0003ad6a
00073f2d,FE00180F
00073f2d,0005076e
00073f2d,000d8e3f
00073f2d,0006bc10
00073f2e,00106e1b
00073f2e,0401cd71
00073f2e,FE001804
00073f2e,00034d31
00073f2e,0003ad5e
00073f2e,FE00182D
00073f2e,0003ad6a
00073f2e,0004da22
00073f51,000b2183
00073f51,FE001827
00073f51,000f11c0
00073f51,0006ac4a
00073f51,FE001811
00073f51,FE001814
00073f51,0007e8c8
00073f51,FE001819
00073f51,00034cdf
00073f51,0006f950
00073f51,0003ad71
00073f51,0004da73
00090042,00106e1b
00090042,0004da20
00090042,0003ad56
00090042,FE001838
00090042,000516c8
00090042,0007e8c1
00090042,FE00180E
00090042,00023d6f
00090042,0006bc04
00090042,0006bc0b
00090042,FE001823
00073f2f,04016e26
00073f2f,000a9195
00073f2f,0007e8c1
00073f2f,0003ad66
00073f2f,FE001816
00073f2f,FE00181F
00073f2f,04017008
00073f2f,0003ad60
000d6947,050008EE
